"Y","TSS","Size","Type"
1,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
1,"A","S","P"
0,"A","S","P"
0,"A","S","P"
1,"A","S","P"
0,"A","S","P"
1,"A","S","P"
1,"A","S","P"
0,"A","S","P"
0,"A","S","P"
1,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
1,"A","S","P"
1,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
1,"A","S","P"
0,"A","S","P"
0,"A","S","P"
1,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
1,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
1,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
1,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
1,"A","S","P"
0,"A","S","P"
1,"A","S","P"
0,"A","S","P"
0,"A","S","P"
1,"A","S","P"
1,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
1,"A","S","P"
0,"A","S","P"
1,"A","S","P"
0,"A","S","P"
0,"A","S","P"
0,"A","S","P"
