"Prev.Size","Prev.Length","Tile.Size","Top.Row","Browse.Time"
0.3732675,95,0.2,"TC",15.0744561775995
0.6561103,95,0.2,"TC",9.70790994013987
0.5146889,70,0.2,"TC",19.1966906894475
0.5146889,120,0.2,"TC",15.4346279995512
0.3732675,95,0.2,"TC",21.1449849263502
0.6561103,95,0.2,"TC",11.769484171382
0.5146889,70,0.2,"TC",12.8573060979553
0.5146889,120,0.2,"TC",20.8371584854572
0.3732675,95,0.2,"TC",13.235391338707
0.6561103,95,0.2,"TC",11.9131800315651
0.5146889,70,0.2,"TC",15.168819415441
0.5146889,120,0.2,"TC",25.1274687682188
0.3732675,95,0.2,"TC",14.9196756366727
0.6561103,95,0.2,"TC",15.0927943383194
0.5146889,70,0.2,"TC",21.9660011408277
0.5146889,120,0.2,"TC",14.8563841586913
0.3732675,95,0.2,"TC",15.1858036739227
0.6561103,95,0.2,"TC",19.0444775269704
0.5146889,70,0.2,"TC",16.5507138097552
0.5146889,120,0.2,"TC",17.8232952865132
0.3732675,95,0.2,"TC",15.8747713721644
0.6561103,95,0.2,"TC",15.5261862889886
0.5146889,70,0.2,"TC",16.405782826446
0.5146889,120,0.2,"TC",19.3892571245804
0.3732675,95,0.2,"TC",22.5278618801756
0.6561103,95,0.2,"TC",10.4775817710365
0.5146889,70,0.2,"TC",21.0527006854682
0.5146889,120,0.2,"TC",13.8267126313284
0.3732675,95,0.2,"TC",12.5759274401585
0.6561103,95,0.2,"TC",15.6484276886129
0.5146889,70,0.2,"TC",14.676199870798
0.5146889,120,0.2,"TC",24.1053559159104
0.3732675,95,0.2,"TC",13.7301348908183
0.6561103,95,0.2,"TC",18.2318531041028
0.5146889,70,0.2,"TC",15.0404951091941
0.5146889,120,0.2,"TC",22.3471817932707
0.3732675,95,0.2,"TC",20.6274384633545
0.6561103,95,0.2,"TC",15.0134383607396
0.5146889,70,0.2,"TC",19.010897380178
0.5146889,120,0.2,"TC",16.2434348318702
0.3732675,95,0.2,"TC",24.9068691423343
0.6561103,95,0.2,"TC",14.8202521839648
0.5146889,70,0.2,"TC",19.1600216034683
0.5146889,120,0.2,"TC",16.6794593728827
0.3732675,95,0.2,"TC",21.7799156781667
0.6561103,95,0.2,"TC",13.4611813155663
0.5146889,70,0.2,"TC",13.5392596495873
0.5146889,120,0.2,"TC",19.6727498542425
0.3732675,95,0.2,"TC",15.234489136692
0.6561103,95,0.2,"TC",11.5251305166461
0.5146889,70,0.2,"TC",17.8043598830266
0.5146889,120,0.2,"TC",17.2148790891706
0.3732675,95,0.2,"TC",14.293244423129
0.6561103,95,0.2,"TC",15.6476202848525
0.5146889,70,0.2,"TC",19.4249894429074
0.5146889,120,0.2,"TC",21.9110896194235
0.3732675,95,0.2,"TC",17.7320581694866
0.6561103,95,0.2,"TC",19.8262298838054
0.5146889,70,0.2,"TC",16.93657572439
0.5146889,120,0.2,"TC",22.8280804181299
0.3732675,95,0.2,"TC",21.03705649488
0.6561103,95,0.2,"TC",16.2797604859921
0.5146889,70,0.2,"TC",16.618290574753
0.5146889,120,0.2,"TC",21.5031107339038
0.3732675,95,0.2,"TC",18.1109197805322
0.6561103,95,0.2,"TC",18.9382612470676
0.5146889,70,0.2,"TC",19.1401483938346
0.5146889,120,0.2,"TC",23.3509185284241
0.3732675,95,0.2,"TC",20.2114715446983
0.6561103,95,0.2,"TC",16.2799041982526
0.5146889,70,0.2,"TC",24.7612974857406
0.5146889,120,0.2,"TC",20.6484455840792
0.3732675,95,0.2,"TC",19.6302601907338
0.6561103,95,0.2,"TC",17.7082430334802
0.5146889,70,0.2,"TC",15.0842733860518
0.5146889,120,0.2,"TC",15.4947170943215
0.3732675,95,0.2,"TC",19.9568688658108
0.6561103,95,0.2,"TC",15.0234103668694
