"Tile.Size","Prev.Size","Prev.Length","Top.Row","Browse.Time"
0.1,0.3,30,"TC",20.1813254132143
0.3,0.3,30,"TC",17.6104321535722
0.1,0.5,30,"TC",21.1165061417768
0.3,0.5,30,"TC",21.0897815085618
0.1,0.3,90,"TC",17.8955340705474
0.3,0.3,90,"TC",22.283458884072
0.1,0.5,90,"TC",21.5789718000854
0.3,0.5,90,"TC",20.7230813650936
0.1,0.3,30,"TC",17.8238790583965
0.3,0.3,30,"TC",25.0553898916486
0.1,0.5,30,"TC",19.8510412107171
0.3,0.5,30,"TC",15.0972114391177
0.1,0.3,90,"TC",18.6230400596351
0.3,0.3,90,"TC",18.6904730478523
0.1,0.5,90,"TC",15.1801729043037
0.3,0.5,90,"TC",10.8378153492172
0.1,0.3,30,"TC",20.2977197823872
0.3,0.3,30,"TC",20.4137681376194
0.1,0.5,30,"TC",21.7434211048421
0.3,0.5,30,"TC",21.3389844314932
0.1,0.3,90,"TC",21.7662927079177
0.3,0.3,90,"TC",19.1439152835431
0.1,0.5,90,"TC",17.859999528467
0.3,0.5,90,"TC",17.4666505606903
0.1,0.3,30,"TC",24.800736831943
0.3,0.3,30,"TC",19.6145586727888
0.1,0.5,30,"TC",17.2954360182476
0.3,0.5,30,"TC",22.1026990858767
0.1,0.3,90,"TC",18.6475597183759
0.3,0.3,90,"TC",20.5567810464923
0.1,0.5,90,"TC",18.5694557191241
0.3,0.5,90,"TC",15.3957243807272
0.1,0.3,30,"TC",18.0755613292802
0.3,0.3,30,"TC",24.0294089090117
0.1,0.5,30,"TC",19.2379906997758
0.3,0.5,30,"TC",22.9475526483718
0.1,0.3,90,"TC",15.4512138170028
0.3,0.3,90,"TC",17.5685366933793
0.1,0.5,90,"TC",17.3782837216592
0.3,0.5,90,"TC",16.4992398088478
0.1,0.3,30,"TC",21.7558410199865
0.3,0.3,30,"TC",16.3326106419157
0.1,0.5,30,"TC",18.2379370852789
0.3,0.5,30,"TC",17.0965938861093
0.1,0.3,90,"TC",17.0054328704503
0.3,0.3,90,"TC",21.0975015207008
0.1,0.5,90,"TC",17.5788968398994
0.3,0.5,90,"TC",13.1521345855092
