"Prev.Size","Prev.Length","Tile.Size","Top.Row","Browse.Time"
0.5146889,95,0.2,"TC",22.7811069512786
0.5474572,105,0.2,"TC",14.8042222627668
0.5146889,95,0.2,"TC",17.6141101184722
0.5474572,105,0.2,"TC",13.6191674384351
0.5146889,95,0.2,"TC",12.5147399675569
0.5474572,105,0.2,"TC",13.5255390448419
0.5146889,95,0.2,"TC",11.4207719815487
0.5474572,105,0.2,"TC",15.4043087650132
0.5146889,95,0.2,"TC",12.5263779471761
0.5474572,105,0.2,"TC",14.8998220341055
0.5146889,95,0.2,"TC",17.7180433756135
0.5474572,105,0.2,"TC",15.8547493932624
0.5146889,95,0.2,"TC",15.5761666872879
0.5474572,105,0.2,"TC",15.8200356567475
0.5146889,95,0.2,"TC",14.8497899393225
0.5474572,105,0.2,"TC",21.674655291858
0.5146889,95,0.2,"TC",5.85423820441964
0.5474572,105,0.2,"TC",17.6569812252305
0.5146889,95,0.2,"TC",17.8676121396458
0.5474572,105,0.2,"TC",19.2220806730008
0.5146889,95,0.2,"TC",18.7487045442721
0.5474572,105,0.2,"TC",15.4658865330649
0.5146889,95,0.2,"TC",20.4887015076278
0.5474572,105,0.2,"TC",11.961207556825
0.5146889,95,0.2,"TC",15.0282066579957
0.5474572,105,0.2,"TC",13.6246316995185
0.5146889,95,0.2,"TC",23.6748396684585
0.5474572,105,0.2,"TC",17.4442067850867
0.5146889,95,0.2,"TC",18.4659771333359
0.5474572,105,0.2,"TC",19.451887869542
0.5146889,95,0.2,"TC",13.9579476303651
0.5474572,105,0.2,"TC",18.4418009285652
0.5146889,95,0.2,"TC",17.6906549475144
0.5474572,105,0.2,"TC",16.5866403929396
0.5146889,95,0.2,"TC",14.6638919810203
0.5474572,105,0.2,"TC",18.3101706219726
0.5146889,95,0.2,"TC",20.5346253328637
0.5474572,105,0.2,"TC",11.4034202617206
0.5146889,95,0.2,"TC",16.2276796514681
0.5474572,105,0.2,"TC",17.4399295122835
0.5146889,95,0.2,"TC",15.6129008970454
0.5474572,105,0.2,"TC",13.9252486205791
0.5146889,95,0.2,"TC",21.5973400812365
0.5474572,105,0.2,"TC",16.9630017177512
0.5146889,95,0.2,"TC",21.3644383493068
0.5474572,105,0.2,"TC",15.2134807887841
0.5146889,95,0.2,"TC",14.4169282841555
0.5474572,105,0.2,"TC",9.42419535980271
0.5146889,95,0.2,"TC",12.6213061453011
0.5474572,105,0.2,"TC",25.1888107849535
0.5146889,95,0.2,"TC",19.0145245553064
0.5474572,105,0.2,"TC",19.237699176119
0.5146889,95,0.2,"TC",18.9790895054026
0.5474572,105,0.2,"TC",18.2778624318851
0.5146889,95,0.2,"TC",11.7403070366409
0.5474572,105,0.2,"TC",15.1792036944192
0.5146889,95,0.2,"TC",20.5753418467699
0.5474572,105,0.2,"TC",19.5001979555602
0.5146889,95,0.2,"TC",12.9106420137022
0.5474572,105,0.2,"TC",18.4153655190717
0.5146889,95,0.2,"TC",16.0092333642356
0.5474572,105,0.2,"TC",20.221269033821
0.5146889,95,0.2,"TC",19.3636654969657
0.5474572,105,0.2,"TC",19.0258121274005
0.5146889,95,0.2,"TC",20.3620130052437
0.5474572,105,0.2,"TC",21.5738668462068
0.5146889,95,0.2,"TC",17.5771840578982
0.5474572,105,0.2,"TC",14.0938158335768
0.5146889,95,0.2,"TC",15.9607500540526
0.5474572,105,0.2,"TC",13.5413598035572
0.5146889,95,0.2,"TC",15.1894329833376
0.5474572,105,0.2,"TC",18.848315710966
0.5146889,95,0.2,"TC",16.5467891372912
0.5474572,105,0.2,"TC",13.7070493657122
0.5146889,95,0.2,"TC",17.5902011322084
0.5474572,105,0.2,"TC",18.3300701175565
0.5146889,95,0.2,"TC",18.4037707222558
0.5474572,105,0.2,"TC",18.2553239689301
0.5146889,95,0.2,"TC",19.0983421099115
0.5474572,105,0.2,"TC",18.639800182602
0.5146889,95,0.2,"TC",19.346072594332
0.5474572,105,0.2,"TC",18.8430302351924
0.5146889,95,0.2,"TC",19.1330415518797
0.5474572,105,0.2,"TC",16.726553156642
0.5146889,95,0.2,"TC",24.233875570692
0.5474572,105,0.2,"TC",17.7499498012532
0.5146889,95,0.2,"TC",19.731690307148
0.5474572,105,0.2,"TC",15.2885403147452
0.5146889,95,0.2,"TC",19.4421955246912
0.5474572,105,0.2,"TC",20.8451135074629
0.5146889,95,0.2,"TC",12.6619569750493
0.5474572,105,0.2,"TC",17.7163183664374
0.5146889,95,0.2,"TC",19.0277076554477
0.5474572,105,0.2,"TC",19.8415636279028
0.5146889,95,0.2,"TC",18.4390278154819
0.5474572,105,0.2,"TC",19.192609704014
0.5146889,95,0.2,"TC",14.6616696917704
0.5474572,105,0.2,"TC",18.1726146377137
0.5146889,95,0.2,"TC",15.5913388052757
0.5474572,105,0.2,"TC",15.126214305803
0.5146889,95,0.2,"TC",16.5034155996934
0.5474572,105,0.2,"TC",17.0805108231038
0.5146889,95,0.2,"TC",16.9973921743619
0.5474572,105,0.2,"TC",15.4040460679336
0.5146889,95,0.2,"TC",13.9287763813113
0.5474572,105,0.2,"TC",18.5750191998461
0.5146889,95,0.2,"TC",18.35504644204
0.5474572,105,0.2,"TC",11.2378392490909
0.5146889,95,0.2,"TC",18.4570105727663
0.5474572,105,0.2,"TC",16.7947242937928
0.5146889,95,0.2,"TC",17.5557197464616
0.5474572,105,0.2,"TC",19.3545429201681
0.5146889,95,0.2,"TC",16.406110307394
0.5474572,105,0.2,"TC",18.4779930530074
0.5146889,95,0.2,"TC",21.818255100749
0.5474572,105,0.2,"TC",15.1350811673566
0.5146889,95,0.2,"TC",16.5877960723511
0.5474572,105,0.2,"TC",16.6116170489806
0.5146889,95,0.2,"TC",11.9651417484352
0.5474572,105,0.2,"TC",15.7513637858679
0.5146889,95,0.2,"TC",15.2719036076411
0.5474572,105,0.2,"TC",18.424013934663
0.5146889,95,0.2,"TC",19.7193590151388
0.5474572,105,0.2,"TC",19.949567338223
0.5146889,95,0.2,"TC",11.6497395547885
0.5474572,105,0.2,"TC",19.2932798228365
0.5146889,95,0.2,"TC",18.8271104201563
0.5474572,105,0.2,"TC",12.1679978756501
0.5146889,95,0.2,"TC",20.6040876100888
0.5474572,105,0.2,"TC",14.7103947121594
0.5146889,95,0.2,"TC",16.0079566751177
0.5474572,105,0.2,"TC",15.2516189955692
0.5146889,95,0.2,"TC",16.7078564073872
0.5474572,105,0.2,"TC",18.4421291716177
0.5146889,95,0.2,"TC",17.2806075589111
0.5474572,105,0.2,"TC",14.7820447038391
0.5146889,95,0.2,"TC",18.6207636266567
0.5474572,105,0.2,"TC",21.3491740913812
0.5146889,95,0.2,"TC",13.452347003562
0.5474572,105,0.2,"TC",18.9826934655836
0.5146889,95,0.2,"TC",15.8393105399615
0.5474572,105,0.2,"TC",16.1504138993913
0.5146889,95,0.2,"TC",15.0606777460406
0.5474572,105,0.2,"TC",17.787385824868
0.5146889,95,0.2,"TC",15.2665054398936
0.5474572,105,0.2,"TC",21.118887098165
0.5146889,95,0.2,"TC",12.4219529655681
0.5474572,105,0.2,"TC",11.9021575082224
0.5146889,95,0.2,"TC",17.4848581216177
0.5474572,105,0.2,"TC",14.5817882468128
0.5146889,95,0.2,"TC",18.687048826717
0.5474572,105,0.2,"TC",16.0599401454004
0.5146889,95,0.2,"TC",13.4801758805499
0.5474572,105,0.2,"TC",16.7923178592771
0.5146889,95,0.2,"TC",10.69212030576
0.5474572,105,0.2,"TC",11.3623437648743
0.5146889,95,0.2,"TC",14.1025944472547
0.5474572,105,0.2,"TC",15.7470539565027
0.5146889,95,0.2,"TC",17.7021622497478
0.5474572,105,0.2,"TC",19.9600493502974
0.5146889,95,0.2,"TC",18.0685595421442
0.5474572,105,0.2,"TC",18.882962453851
0.5146889,95,0.2,"TC",16.7398170771017
0.5474572,105,0.2,"TC",21.7612467038129
0.5146889,95,0.2,"TC",15.5004979433459
0.5474572,105,0.2,"TC",15.6847133081261
0.5146889,95,0.2,"TC",16.1076239717668
0.5474572,105,0.2,"TC",11.9448247032303
0.5146889,95,0.2,"TC",16.2387557919852
0.5474572,105,0.2,"TC",15.8506395124106
0.5146889,95,0.2,"TC",18.1456662215096
0.5474572,105,0.2,"TC",15.7802543679705
0.5146889,95,0.2,"TC",11.5653747058891
0.5474572,105,0.2,"TC",18.6370989893027
0.5146889,95,0.2,"TC",11.5093545527783
0.5474572,105,0.2,"TC",13.786126983493
0.5146889,95,0.2,"TC",11.9124245639174
0.5474572,105,0.2,"TC",22.0243290695575
0.5146889,95,0.2,"TC",18.2715035244174
0.5474572,105,0.2,"TC",20.3076626441574
0.5146889,95,0.2,"TC",17.0966618955407
0.5474572,105,0.2,"TC",19.0133061011389
0.5146889,95,0.2,"TC",14.676018194751
0.5474572,105,0.2,"TC",17.5637924892783
0.5146889,95,0.2,"TC",14.79379267149
0.5474572,105,0.2,"TC",20.7305965998523
0.5146889,95,0.2,"TC",18.8663708104608
0.5474572,105,0.2,"TC",13.9044628686551
0.5146889,95,0.2,"TC",17.357585535272
0.5474572,105,0.2,"TC",21.5804598460448
0.5146889,95,0.2,"TC",18.961260286817
0.5474572,105,0.2,"TC",15.6788196826088
0.5146889,95,0.2,"TC",18.7320005072606
0.5474572,105,0.2,"TC",17.3660325477207
0.5146889,95,0.2,"TC",16.8148581583275
0.5474572,105,0.2,"TC",19.9499884229305
0.5146889,95,0.2,"TC",20.5042737066659
0.5474572,105,0.2,"TC",16.9711765197706
0.5146889,95,0.2,"TC",13.595132956462
0.5474572,105,0.2,"TC",17.8956059462975
0.5146889,95,0.2,"TC",15.9345268132167
0.5474572,105,0.2,"TC",20.3216685888289
0.5146889,95,0.2,"TC",15.1601487019946
0.5474572,105,0.2,"TC",22.5899541475919
0.5146889,95,0.2,"TC",11.1693882733859
0.5474572,105,0.2,"TC",16.4181592285692
0.5146889,95,0.2,"TC",19.4205864032106
0.5474572,105,0.2,"TC",19.5018363980585
0.5146889,95,0.2,"TC",12.7767411005586
0.5474572,105,0.2,"TC",12.9837224952449
