"Prev.Length","Prev.Size","Tile.Size","Top.Row","Browse.Time"
90,0.2,0.2,"TC",24.7007437778739
120,0.2,0.2,"TC",24.5090926875125
90,0.5,0.2,"TC",12.997949945791
120,0.5,0.2,"TC",28.9262650146078
105,0.35,0.2,"TC",21.2969774801203
90,0.2,0.2,"TC",22.7871470845679
120,0.2,0.2,"TC",18.1495687688572
90,0.5,0.2,"TC",15.4695645461866
120,0.5,0.2,"TC",23.2240053753259
105,0.35,0.2,"TC",21.981278455643
90,0.2,0.2,"TC",17.5874207991844
120,0.2,0.2,"TC",24.9961483174508
90,0.5,0.2,"TC",23.2563067667904
120,0.5,0.2,"TC",19.4616238842349
105,0.35,0.2,"TC",24.5877651174213
90,0.2,0.2,"TC",23.2378872447597
120,0.2,0.2,"TC",21.3631843527791
90,0.5,0.2,"TC",16.5288352217749
120,0.5,0.2,"TC",28.5307206276697
105,0.35,0.2,"TC",24.2299923743524
90,0.2,0.2,"TC",20.0181321822135
120,0.2,0.2,"TC",26.3942680808131
90,0.5,0.2,"TC",15.3773437979429
120,0.5,0.2,"TC",28.8069016594481
105,0.35,0.2,"TC",26.1287139502511
90,0.2,0.2,"TC",18.2632494558182
120,0.2,0.2,"TC",18.729162489619
90,0.5,0.2,"TC",20.7962232793097
120,0.5,0.2,"TC",17.0127679660322
105,0.35,0.2,"TC",20.7929710032961
90,0.2,0.2,"TC",20.1446737550724
120,0.2,0.2,"TC",23.9910417978827
90,0.5,0.2,"TC",21.2575723727887
120,0.5,0.2,"TC",21.9577684996938
105,0.35,0.2,"TC",26.6678861667224
90,0.2,0.2,"TC",22.2616441923724
120,0.2,0.2,"TC",28.5096156838393
90,0.5,0.2,"TC",18.9774404454063
120,0.5,0.2,"TC",21.4350104471236
105,0.35,0.2,"TC",25.6426646199308
90,0.2,0.2,"TC",23.5489029039138
120,0.2,0.2,"TC",22.3701941175022
90,0.5,0.2,"TC",22.0565965180963
120,0.5,0.2,"TC",21.376085327067
105,0.35,0.2,"TC",20.5271520687623
90,0.2,0.2,"TC",21.4803815758556
120,0.2,0.2,"TC",23.0546069603993
90,0.5,0.2,"TC",17.2774052180074
120,0.5,0.2,"TC",26.982622645302
105,0.35,0.2,"TC",20.8795702172607
90,0.2,0.2,"TC",25.3866918552753
120,0.2,0.2,"TC",19.3772210326711
90,0.5,0.2,"TC",20.7257192763357
120,0.5,0.2,"TC",17.7135674020303
105,0.35,0.2,"TC",24.9627402859505
90,0.2,0.2,"TC",22.4864363566858
120,0.2,0.2,"TC",21.3425835829467
90,0.5,0.2,"TC",22.8231479454693
120,0.5,0.2,"TC",16.0495338679917
105,0.35,0.2,"TC",16.628908653697
90,0.2,0.2,"TC",25.8482174972586
120,0.2,0.2,"TC",15.8103066108347
90,0.5,0.2,"TC",13.3104593852085
120,0.5,0.2,"TC",23.7123881068583
105,0.35,0.2,"TC",18.1261194267928
90,0.2,0.2,"TC",21.2687749310417
120,0.2,0.2,"TC",24.1034837027252
90,0.5,0.2,"TC",19.0126791742402
120,0.5,0.2,"TC",19.4076146155949
105,0.35,0.2,"TC",21.6141375392531
90,0.2,0.2,"TC",26.4337190969706
120,0.2,0.2,"TC",23.3299000052145
90,0.5,0.2,"TC",19.7170674564839
120,0.5,0.2,"TC",22.6754765563358
